beta,k,tau,alpha,seed,adversarial,mu_planner,mu_researcher,mu_critic,RoundsToApproval_baseline,RoundsToApproval_influence,AgreementRate_baseline,AgreementRate_influence,RevisionDepth_between_rounds,PlannerResearcher_Canonical_baseline,PlannerResearcher_Canonical_influence,Planner_SelfAgreement,Researcher_SelfAgreement
0.3,3.0,0.4,0.4,1,0,0.605,0.5825,0.5825,,,0.2,0.5,1,0.0,0.333,0.2,0.5
0.3,3.0,0.4,0.8,1,0,0.605,0.5825,0.5825,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.3,3.0,0.4,1.2,1,0,0.605,0.5825,0.5825,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.3,3.0,0.5,0.4,1,0,0.605,0.5825,0.5825,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.3,3.0,0.5,0.8,1,0,0.605,0.5825,0.5825,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.3,3.0,0.5,1.2,1,0,0.605,0.5825,0.5825,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.3,3.0,0.4,0.4,1,1,0.485,0.4925,0.47,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.3,3.0,0.4,0.8,1,1,0.485,0.4925,0.47,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.3,3.0,0.4,1.2,1,1,0.485,0.4925,0.47,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.3,3.0,0.5,0.4,1,1,0.485,0.4925,0.47,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.3,3.0,0.5,0.8,1,1,0.485,0.4925,0.47,,,0.0,0.0,0,0.0,0.0,,1.0
0.3,3.0,0.5,1.2,1,1,0.485,0.4925,0.47,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.2,3.0,0.5,1.2,5,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.7,0.8,2,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.5,0.4,1,0,0.64,0.61,0.61,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,6.0,0.7,1.2,5,0,0.71,0.665,0.665,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.5,0.8,3,0,0.78,0.72,0.72,,,0.0,0.2,2,0.0,0.0,0.0,0.2
0.2,6.0,0.5,0.8,3,1,0.49,0.495,0.48,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.5,0.8,1,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.7,1.2,4,0,0.57,0.555,0.555,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.5,0.8,2,0,0.71,0.665,0.665,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,6.0,0.3,0.4,4,0,0.71,0.665,0.665,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.5,0.4,3,1,0.48,0.49,0.46,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,3.0,0.5,1.2,4,1,0.49,0.495,0.48,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.5,0.8,3,1,0.47,0.485,0.44,,,0.0,0.2,2,0.0,0.0,0.0,0.2
0.6,6.0,0.5,1.2,1,1,0.47,0.485,0.44,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,3.0,0.3,0.4,2,1,0.49,0.495,0.48,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.8,6.0,0.5,0.4,3,0,0.78,0.72,0.72,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.6,6.0,0.7,1.2,3,1,0.47,0.485,0.44,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.7,1.2,1,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.3,1.2,1,1,0.46,0.48,0.42,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.3,0.8,4,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.5,0.4,3,0,0.78,0.72,0.72,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.7,0.8,2,1,0.48,0.49,0.46,,,0.0,0.0,0,0.0,0.0,0.0,0.0
0.4,3.0,0.5,1.2,4,0,0.64,0.61,0.61,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,6.0,0.5,0.8,5,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.7,0.8,2,0,0.57,0.555,0.555,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.5,0.8,1,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.7,0.8,4,0,0.57,0.555,0.555,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.5,1.2,1,1,0.49,0.495,0.48,,,0.0,0.0,2,0.0,0.0,,0.2
0.2,6.0,0.5,0.8,4,1,0.49,0.495,0.48,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.5,1.2,2,0,0.64,0.61,0.61,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,6.0,0.5,0.8,1,0,0.71,0.665,0.665,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.5,0.4,3,1,0.46,0.48,0.42,1,,0.5,0.0,0,0.333,0.0,0.5,0.0
0.8,6.0,0.5,1.2,1,1,0.46,0.48,0.42,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.5,1.2,3,1,0.49,0.495,0.48,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.2,3.0,0.5,0.4,2,0,0.57,0.555,0.555,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.2,6.0,0.5,0.4,5,1,0.49,0.495,0.48,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.5,0.4,1,1,0.48,0.49,0.46,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,0.8,1,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,1.2,2,1,0.49,0.495,0.48,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,6.0,0.7,0.8,2,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.3,0.8,3,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.3,1.2,3,1,0.46,0.48,0.42,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.5,1.2,5,1,0.48,0.49,0.46,,,0.0,0.0,0,0.0,0.0,,1.0
0.6,3.0,0.3,0.4,5,0,0.71,0.665,0.665,,,0.0,0.2,2,0.0,0.0,0.0,0.2
0.2,6.0,0.3,1.2,3,0,0.57,0.555,0.555,,,0.0,0.2,2,0.0,0.25,0.0,0.2
0.8,6.0,0.7,0.4,4,1,0.46,0.48,0.42,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.7,1.2,4,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,6.0,0.5,0.8,3,0,0.64,0.61,0.61,,,0.0,0.2,2,0.0,0.25,0.0,0.2
0.8,6.0,0.7,0.4,5,1,0.46,0.48,0.42,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,6.0,0.7,0.8,3,0,0.64,0.61,0.61,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.5,1.2,3,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.7,0.8,1,1,0.46,0.48,0.42,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.3,1.2,1,0,0.71,0.665,0.665,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,6.0,0.7,0.8,4,1,0.48,0.49,0.46,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.5,0.8,3,1,0.48,0.49,0.46,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.4,3.0,0.7,0.4,4,1,0.48,0.49,0.46,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.5,1.2,5,0,0.78,0.72,0.72,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.4,6.0,0.3,1.2,3,0,0.64,0.61,0.61,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,3.0,0.7,1.2,5,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.3,0.8,5,0,0.71,0.665,0.665,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,3.0,0.3,0.8,1,1,0.48,0.49,0.46,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.7,0.8,1,1,0.46,0.48,0.42,1,,0.5,0.2,2,0.333,0.25,0.5,0.2
0.2,6.0,0.7,0.8,5,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,3.0,0.3,0.4,4,0,0.64,0.61,0.61,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.5,0.4,5,0,0.71,0.665,0.665,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.7,0.8,3,0,0.64,0.61,0.61,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,6.0,0.3,1.2,2,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.5,0.4,1,0,0.57,0.555,0.555,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.2,6.0,0.7,0.4,5,1,0.49,0.495,0.48,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.5,0.4,4,0,0.64,0.61,0.61,1,,0.5,0.2,2,0.333,0.0,0.5,0.2
0.6,3.0,0.5,1.2,2,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,6.0,0.5,0.4,5,1,0.47,0.485,0.44,,,0.0,0.2,2,0.0,0.25,0.0,0.2
0.8,3.0,0.7,0.8,5,0,0.78,0.72,0.72,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,3.0,0.5,0.4,1,0,0.57,0.555,0.555,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.3,0.8,2,0,0.64,0.61,0.61,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.4,3.0,0.5,0.8,1,1,0.48,0.49,0.46,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.4,6.0,0.7,1.2,5,1,0.48,0.49,0.46,,,0.0,0.0,0,0.0,0.0,0.0,0.0
0.4,3.0,0.3,0.8,3,1,0.48,0.49,0.46,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,6.0,0.5,1.2,3,1,0.47,0.485,0.44,,,0.0,0.0,0,0.0,0.0,0.0,0.0
0.2,3.0,0.3,1.2,5,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,1.2,3,0,0.57,0.555,0.555,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.8,3.0,0.5,0.8,5,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.3,0.4,4,1,0.48,0.49,0.46,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,0.4,1,0,0.57,0.555,0.555,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.7,0.4,4,1,0.49,0.495,0.48,,,0.2,0.5,1,0.0,0.333,0.2,0.5
0.6,3.0,0.5,1.2,3,1,0.47,0.485,0.44,1,,0.5,0.0,0,0.333,0.0,0.5,0.0
0.6,3.0,0.7,0.8,3,0,0.71,0.665,0.665,,,0.0,0.2,2,0.0,0.0,0.0,0.2
0.8,6.0,0.7,1.2,4,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.3,1.2,3,1,0.48,0.49,0.46,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.5,1.2,1,0,0.78,0.72,0.72,,,0.2,0.5,1,0.0,0.333,0.2,0.5
0.4,3.0,0.7,1.2,5,0,0.64,0.61,0.61,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,3.0,0.5,0.4,2,1,0.48,0.49,0.46,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.5,0.4,5,1,0.46,0.48,0.42,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.3,0.4,3,0,0.71,0.665,0.665,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,6.0,0.5,0.4,5,0,0.71,0.665,0.665,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.6,3.0,0.3,0.8,2,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.5,0.8,4,1,0.46,0.48,0.42,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.7,1.2,1,0,0.57,0.555,0.555,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,6.0,0.5,0.4,3,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.5,0.4,2,0,0.71,0.665,0.665,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.3,0.8,4,1,0.49,0.495,0.48,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,6.0,0.5,1.2,2,0,0.64,0.61,0.61,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.7,0.8,4,0,0.78,0.72,0.72,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.7,0.8,3,1,0.49,0.495,0.48,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,1.2,5,1,0.49,0.495,0.48,,,0.0,0.0,1,0.0,0.0,,0.5
0.2,3.0,0.5,1.2,4,0,0.57,0.555,0.555,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.7,0.4,3,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.7,0.8,2,1,0.49,0.495,0.48,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.5,1.2,1,0,0.64,0.61,0.61,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.3,1.2,1,1,0.48,0.49,0.46,,1,0.2,0.5,1,0.0,0.667,0.2,0.5
0.2,6.0,0.5,0.4,4,1,0.49,0.495,0.48,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,6.0,0.7,0.4,2,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,6.0,0.5,1.2,2,1,0.47,0.485,0.44,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.3,0.4,3,0,0.64,0.61,0.61,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.3,1.2,5,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.7,0.8,5,1,0.46,0.48,0.42,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.3,0.8,1,0,0.78,0.72,0.72,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.3,1.2,2,0,0.71,0.665,0.665,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.5,1.2,2,1,0.48,0.49,0.46,1,,0.5,0.0,0,0.333,0.0,0.5,0.0
0.2,3.0,0.7,0.8,4,0,0.57,0.555,0.555,,,0.0,0.0,0,0.0,0.0,0.0,0.0
0.4,3.0,0.3,0.8,5,0,0.64,0.61,0.61,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.3,0.8,2,0,0.57,0.555,0.555,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,6.0,0.5,0.4,4,0,0.71,0.665,0.665,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.6,6.0,0.3,0.4,5,1,0.47,0.485,0.44,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,0.8,2,0,0.57,0.555,0.555,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,6.0,0.5,1.2,4,1,0.48,0.49,0.46,1,,0.5,0.0,0,0.333,0.0,0.5,0.0
0.4,3.0,0.5,1.2,1,1,0.48,0.49,0.46,,,0.0,0.0,2,0.0,0.0,,0.2
0.6,3.0,0.3,0.4,1,1,0.47,0.485,0.44,1,,1.0,0.5,1,1.0,0.333,1.0,0.5
0.6,6.0,0.7,1.2,4,0,0.71,0.665,0.665,,,0.0,0.0,3,0.0,0.0,0.0,0.0
0.2,6.0,0.3,0.8,5,1,0.49,0.495,0.48,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.4,3.0,0.3,0.8,4,1,0.48,0.49,0.46,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.7,1.2,3,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.7,0.8,4,1,0.48,0.49,0.46,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.7,1.2,2,1,0.46,0.48,0.42,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.7,1.2,5,1,0.49,0.495,0.48,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,3.0,0.5,0.4,3,0,0.64,0.61,0.61,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.2,6.0,0.5,1.2,2,1,0.49,0.495,0.48,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.6,3.0,0.5,1.2,5,1,0.47,0.485,0.44,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.4,3.0,0.3,0.4,2,1,0.48,0.49,0.46,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.2,6.0,0.7,0.4,2,1,0.49,0.495,0.48,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,6.0,0.5,0.8,2,0,0.57,0.555,0.555,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.6,3.0,0.5,0.4,1,1,0.47,0.485,0.44,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.3,0.8,4,0,0.71,0.665,0.665,1,1,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,6.0,0.3,1.2,2,1,0.46,0.48,0.42,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.7,0.4,1,0,0.57,0.555,0.555,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.2,6.0,0.7,0.8,1,1,0.49,0.495,0.48,,1,0.0,1.0,0,0.0,1.0,0.0,1.0
0.6,3.0,0.3,0.8,5,1,0.47,0.485,0.44,,1,0.2,1.0,0,0.0,1.0,0.2,1.0
0.2,6.0,0.3,0.4,4,1,0.49,0.495,0.48,,1,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,3.0,0.3,0.4,5,0,0.78,0.72,0.72,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.8,3.0,0.5,1.2,4,1,0.46,0.48,0.42,,,0.0,0.5,1,0.0,0.333,0.0,0.5
0.8,6.0,0.7,0.8,3,1,0.46,0.48,0.42,,,0.0,0.2,2,0.0,0.25,0.0,0.2
0.8,6.0,0.7,0.8,4,1,0.46,0.48,0.42,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.4,3.0,0.7,1.2,2,0,0.64,0.61,0.61,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.6,3.0,0.5,0.8,2,1,0.47,0.485,0.44,1,,0.5,0.5,1,0.333,0.333,0.5,0.5
0.2,3.0,0.3,0.4,4,0,0.57,0.555,0.555,1,1,0.5,0.5,0,0.333,0.333,0.5,0.5
